parent,child,relationshiptype
root,Node1,M
Node1,Node2,Star
Node2,Node3,Star
Node1,Node3,E
Node3,Node4,Star
Node4,Node5,A
root,Node6,O
Node1,Node7,Star
Node6,Node8,O
Node6,Node9,O
Node1,Node10,Star
root,Node11,O
Node7,Node12,Star
Node8,Node12,O
Node7,Node5,E
Node1,Node13,Star
Node13,Node14,O
Node9,Node15,A
Node2,Node8,R
Node8,Node15,R
Node1,Node9,E
Node14,Node16,Star
Node12,Node17,Star
Node7,Node16,E
Node9,Node18,A
Node5,Node14,O
Node15,Node19,A
Node3,Node20,Star
Node2,Node6,R
Node2,Node20,R
Node2,Node19,R
Node11,Node21,M
Node19,Node22,O
Node1,Node4,E
Node22,Node23,A
Node2,Node18,R
Node10,Node24,O
Node17,Node21,Star
Node2,Node25,Star
Node13,Node26,O
Node14,Node27,Star
Node23,Node28,Star
Node10,Node29,O
Node20,Node7,O
Node29,Node17,O
Node5,Node26,E
Node16,Node30,Star
Node8,Node31,O
Node29,Node32,O
Node21,Node33,O
Node28,Node34,O
Node8,Node29,R
Node22,Node35,A
Node23,Node31,E
Node33,Node36,M
Node30,Node37,A
Node15,Node38,A
Node13,Node39,O
Node33,Node40,M
Node27,Node41,M
Node2,Node42,Star
Node15,Node43,A
Node19,Node40,R
Node29,Node24,R
Node33,Node44,O
Node34,Node45,O
Node19,Node34,R
Node6,Node45,E
Node2,Node23,R
Node3,Node42,R
Node45,Node44,O
Node44,Node46,Star
Node11,Node47,O
Node14,Node48,Star
Node22,Node30,E
Node10,Node49,M
Node4,Node50,A
Node15,Node51,A
Node15,Node36,R
Node40,Node52,O
Node45,Node53,O
Node2,Node43,R
Node9,Node54,A
Node42,Node55,A
Node53,Node46,Star
root,Node56,O
Node28,Node57,O
Node46,Node58,O
Node21,Node59,O
Node12,Node51,E
Node18,Node56,A
Node55,Node60,A
Node59,Node52,O
Node5,Node61,O
Node38,Node62,O
Node35,Node63,O
Node23,Node64,Star
Node55,Node57,E
Node26,Node35,O
Node31,Node65,A
Node48,Node66,O
root,Node67,O
Node39,Node60,Star
Node21,Node68,O
root,Node69,O
Node16,Node54,E
Node33,Node70,O
Node51,Node71,O
Node55,Node66,E
Node52,Node72,Star
Node23,Node73,Star
Node6,Node74,O
Node43,Node71,O
Node59,Node75,O
Node59,Node38,E
Node15,Node76,A
Node22,Node67,E
Node59,Node77,O
root,Node78,O
Node75,Node79,O
Node36,Node73,O
Node4,Node78,E
Node71,Node80,O
Node65,Node81,M
Node1,Node25,E
Node23,Node61,E
Node32,Node82,O
Node40,Node83,O
Node10,Node84,M
Node59,Node79,E
Node14,Node85,Star
Node56,Node86,O
Node9,Node59,R
Node10,Node87,O
Node51,Node83,E
Node10,Node88,M
Node57,Node72,Star
Node68,Node62,A
Node3,Node74,R
Node88,Node85,O
Node81,Node89,M
Node26,Node90,O
Node70,Node91,Star
Node75,Node91,R
Node38,Node64,R
Node46,Node39,E
Node77,Node87,O
Node4,Node92,A
Node18,Node93,A
Node49,Node94,M
Node47,Node93,Star
Node58,Node95,A
Node63,Node76,O
Node59,Node96,O
Node87,Node22,Star
Node89,Node97,M
Node65,Node98,O
Node22,Node99,A
Node19,Node88,R
Node37,Node100,M
Node63,Node75,R
Node68,Node101,A
Node61,Node69,Star
Node59,Node98,E
Node11,Node102,O
Node38,Node103,O
Node100,Node104,M
Node81,Node105,O
Node79,Node106,A
Node10,Node107,O
Node71,Node108,O
Node69,Node109,O
Node85,Node110,A
Node36,Node111,O
Node101,Node112,O
Node75,Node113,O
Node9,Node114,A
Node26,Node115,O
Node77,Node107,E
Node8,Node114,R
Node108,Node63,Star
Node43,Node116,O
Node93,Node82,O
Node80,Node103,O
Node53,Node117,Star
Node53,Node118,Star
