parent,child,relationshiptype
root,Node1,M
Node1,Node2,A
root,Node3,M
Node3,Node1,R
root,Node4,M
Node4,Node2,O
Node4,Node3,O
Node2,Node5,A
Node2,Node6,A
Node4,Node7,M
Node6,Node8,A
Node6,Node7,E
Node5,Node8,E
Node7,Node4,O
Node5,Node6,E
Node8,Node5,R
Node1,Node9,A
Node7,Node9,O
Node4,Node10,M
Node7,Node11,M
Node10,Node12,O
Node9,Node12,E
Node11,Node10,R
Node11,Node13,Star
Node5,Node14,Star
Node10,Node13,E
Node9,Node14,E
Node10,Node11,E
Node12,Node15,A
Node1,Node16,A
Node16,Node17,A
Node14,Node15,R
Node9,Node18,Star
Node16,Node18,E
Node7,Node17,O
Node14,Node16,R
Node17,Node19,O
Node15,Node19,E
Node18,Node20,O
Node19,Node20,E
Node12,Node21,A
Node13,Node22,Star
Node22,Node21,E
Node16,Node22,E
Node19,Node23,O
Node22,Node23,E
Node9,Node24,Star
Node21,Node25,Star
Node12,Node26,A
Node24,Node27,O
Node20,Node28,Star
Node26,Node27,O
Node17,Node29,O
Node28,Node24,O
Node26,Node25,O
Node21,Node30,Star
Node10,Node31,O
Node16,Node31,E
Node31,Node32,A
Node13,Node32,E
Node29,Node33,Star
Node30,Node29,O
Node24,Node28,E
Node30,Node26,O
Node14,Node27,R
Node25,Node30,O
Node16,Node34,A
Node21,Node34,R
Node7,Node35,M
Node28,Node29,O
Node28,Node36,M
Node20,Node33,R
Node8,Node37,Star
Node27,Node35,E
Node23,Node29,R
Node23,Node36,R
Node16,Node38,A
Node29,Node38,E
Node21,Node39,Star
Node35,Node40,O
Node36,Node37,O
Node22,Node40,E
Node31,Node39,R
Node9,Node41,Star
Node15,Node41,E
Node27,Node42,Star
Node29,Node42,E
Node3,Node43,Star
Node28,Node43,O
Node41,Node44,Star
Node30,Node45,M
Node20,Node46,Star
Node35,Node44,R
Node32,Node45,E
Node24,Node46,E
Node31,Node47,A
Node47,Node48,A
Node22,Node49,Star
Node25,Node50,M
Node48,Node50,O
Node44,Node48,R
Node18,Node51,O
Node27,Node51,E
Node21,Node47,R
Node2,Node52,A
Node17,Node53,O
Node37,Node52,E
Node17,Node49,R
Node37,Node53,E
Node13,Node54,Star
Node15,Node54,E
Node26,Node55,M
Node23,Node55,R
Node18,Node56,O
Node26,Node56,O
Node34,Node56,E
Node20,Node57,Star
Node51,Node58,A
Node36,Node58,O
Node11,Node59,Star
Node52,Node57,R
Node33,Node59,E
Node3,Node60,Star
Node6,Node60,E
Node38,Node61,A
Node24,Node62,O
Node60,Node62,R
Node16,Node63,A
Node16,Node64,A
Node30,Node63,O
Node9,Node65,Star
Node56,Node61,R
Node29,Node64,E
Node48,Node65,O
Node5,Node66,Star
Node34,Node67,Star
Node63,Node68,Star
Node41,Node69,Star
Node31,Node70,A
Node13,Node71,Star
Node39,Node69,O
Node69,Node67,R
Node53,Node68,R
Node26,Node72,M
Node46,Node73,O
Node21,Node74,Star
Node2,Node75,A
Node65,Node76,A
Node56,Node73,R
Node38,Node74,E
Node12,Node77,A
Node42,Node66,E
Node48,Node75,O
Node29,Node78,Star
Node58,Node79,A
Node54,Node80,Star
Node16,Node81,A
Node54,Node82,Star
Node47,Node81,E
Node80,Node70,R
Node52,Node83,O
Node57,Node80,R
Node22,Node84,Star
Node40,Node82,R
Node28,Node85,M
Node23,Node86,O
Node60,Node85,R
Node2,Node87,A
Node29,Node87,E
Node20,Node76,R
Node17,Node84,R
Node52,Node88,O
Node82,Node89,A
