parent,child,relationshiptype
root,Node1,M
root,Node2,M
Node1,Node3,A
Node2,Node4,M
Node1,Node5,A
Node1,Node6,A
Node4,Node7,M
Node5,Node8,A
Node8,Node9,M
Node9,Node3,E
Node6,Node4,R
Node3,Node10,O
Node7,Node10,E
Node8,Node11,M
Node9,Node12,A
Node11,Node13,O
Node13,Node14,Star
Node14,Node15,O
Node13,Node2,R
Node5,Node16,A
Node7,Node17,O
Node16,Node9,E
Node6,Node11,R
Node17,Node15,O
Node3,Node18,O
Node12,Node14,E
Node15,Node19,O
Node4,Node20,M
Node2,Node16,O
Node20,Node21,O
Node9,Node5,E
Node16,Node22,Star
Node11,Node7,R
Node5,Node17,R
Node21,Node23,Star
Node4,Node24,M
Node4,Node8,O
Node8,Node6,O
Node12,Node25,Star
Node10,Node1,O
Node19,Node23,E
Node8,Node26,M
Node17,Node21,O
Node18,Node27,Star
Node11,Node20,R
Node25,Node24,R
Node27,Node28,O
Node15,Node25,R
Node18,Node12,E
Node20,Node29,O
Node16,Node13,E
Node21,Node15,R
Node26,Node30,Star
Node24,Node31,A
Node28,Node32,Star
Node32,Node33,M
Node25,Node28,R
Node10,Node34,M
Node22,Node35,Star
Node17,Node29,O
Node5,Node36,A
Node12,Node34,E
Node20,Node19,R
Node25,Node36,R
Node9,Node37,A
Node7,Node38,O
Node13,Node39,Star
Node33,Node32,O
Node39,Node40,M
Node39,Node38,O
Node3,Node41,O
Node14,Node30,E
Node11,Node42,O
Node34,Node43,Star
Node25,Node44,A
Node34,Node35,E
Node30,Node45,O
root,Node46,M
Node42,Node46,E
Node35,Node47,M
Node12,Node26,E
Node44,Node22,E
root,Node48,M
Node41,Node49,M
Node36,Node42,R
Node46,Node31,R
Node6,Node50,A
Node38,Node51,M
Node45,Node52,Star
Node39,Node53,M
Node9,Node54,A
Node36,Node55,A
Node35,Node56,M
Node3,Node57,O
Node15,Node40,R
Node29,Node58,M
Node56,Node43,O
Node28,Node39,E
Node52,Node59,Star
Node47,Node60,A
Node49,Node61,Star
root,Node62,M
Node22,Node63,Star
Node55,Node64,Star
Node23,Node57,E
Node55,Node29,R
Node44,Node65,O
Node57,Node66,O
Node65,Node45,E
Node61,Node38,R
Node39,Node67,M
Node50,Node60,R
Node67,Node68,Star
Node3,Node54,R
Node26,Node69,Star
Node66,Node70,M
Node57,Node71,O
Node59,Node72,O
Node53,Node37,R
Node37,Node68,O
Node18,Node66,E
Node21,Node59,R
Node31,Node73,A
Node65,Node58,E
Node48,Node74,M
Node41,Node64,O
Node44,Node75,O
Node59,Node76,O
Node6,Node77,A
Node17,Node62,O
Node41,Node72,O
Node26,Node78,Star
Node35,Node49,O
Node61,Node73,R
Node53,Node71,R
Node44,Node51,E
Node2,Node79,M
Node66,Node80,M
Node17,Node81,M
Node55,Node77,R
Node34,Node61,E
Node9,Node82,A
Node21,Node83,Star
Node27,Node78,E
Node38,Node72,O
Node34,Node44,E
Node52,Node84,Star
Node31,Node55,R
Node65,Node85,Star
Node30,Node86,O
Node70,Node80,R
Node29,Node87,M
Node69,Node88,A
Node20,Node89,O
Node39,Node47,O
Node24,Node63,E
Node57,Node21,E
Node47,Node33,E
Node83,Node82,E
Node78,Node76,E
Node72,Node56,R
Node37,Node90,M
Node69,Node91,A
Node74,Node88,R
Node13,Node92,Star
Node51,Node91,O
Node24,Node93,A
Node59,Node89,R
Node36,Node27,R
Node35,Node90,O
Node77,Node65,E
Node23,Node69,E
Node47,Node94,A
Node37,Node74,O
Node67,Node86,R
Node43,Node95,O
Node33,Node96,M
Node63,Node97,Star
Node81,Node83,R
Node95,Node98,Star
Node22,Node53,R
Node50,Node99,Star
Node98,Node79,R
Node86,Node100,A
Node64,Node87,E
Node87,Node85,R
Node57,Node93,E
Node88,Node101,O
Node94,Node97,E
Node68,Node72,E
Node58,Node94,R
Node12,Node81,E
Node77,Node92,E
Node84,Node67,E
Node96,Node102,O
Node19,Node96,E
Node52,Node99,E
Node94,Node103,Star
Node69,Node100,R
Node43,Node104,O
Node101,Node105,Star
Node29,Node106,M
Node30,Node107,O
Node27,Node50,E
Node32,Node108,M
Node57,Node102,E
Node15,Node84,R
Node80,Node108,R
Node32,Node106,O
Node1,Node109,A
Node47,Node70,E
Node108,Node110,O
Node57,Node111,O
Node93,Node112,A
Node63,Node113,Star
Node28,Node105,E
Node75,Node48,R
Node81,Node114,O
Node49,Node111,E
Node90,Node115,A
Node15,Node52,R
Node1,Node116,A
Node28,Node98,E
Node103,Node117,A
Node117,Node118,M
Node8,Node119,M
Node98,Node120,O
Node103,Node116,R
Node120,Node121,O
Node114,Node122,A
Node38,Node123,M
Node91,Node107,R
Node25,Node124,A
Node56,Node125,M
Node61,Node126,O
Node71,Node125,R
Node122,Node104,R
Node121,Node112,E
Node43,Node126,R
Node53,Node103,R
Node6,Node127,A
Node50,Node124,R
Node88,Node121,R
Node73,Node128,M
Node49,Node129,Star
Node53,Node122,R
Node85,Node130,Star
Node126,Node127,R
Node90,Node110,E
Node90,Node119,E
Node55,Node101,R
Node40,Node120,E
Node35,Node131,M
Node93,Node132,A
Node123,Node118,R
Node94,Node113,E
Node5,Node133,A
Node64,Node114,E
Node119,Node134,O
root,Node135,M
Node113,Node136,A
Node51,Node133,O
Node23,Node117,E
Node18,Node137,Star
Node109,Node138,A
Node39,Node95,O
Node95,Node139,Star
Node19,Node140,O
Node51,Node132,O
Node79,Node141,M
Node83,Node142,O
Node112,Node137,R
Node123,Node139,R
Node131,Node129,E
Node61,Node131,R
Node23,Node143,Star
Node16,Node135,E
Node122,Node138,R
Node64,Node18,E
Node141,Node144,A
Node30,Node145,O
Node105,Node146,Star
Node137,Node141,R
Node20,Node147,O
Node48,Node148,M
Node55,Node134,R
Node37,Node144,O
Node137,Node148,R
Node10,Node149,M
Node29,Node150,M
Node53,Node130,R
Node65,Node109,E
Node110,Node95,O
Node57,Node151,O
Node136,Node140,E
Node24,Node145,E
Node130,Node152,Star
Node130,Node136,E
Node45,Node153,Star
Node47,Node41,E
Node143,Node128,O
Node22,Node154,Star
Node102,Node147,O
Node86,Node155,A
Node141,Node95,E
Node119,Node156,O
Node75,Node157,Star
Node50,Node158,Star
Node115,Node159,A
Node40,Node160,A
Node111,Node161,Star
Node117,Node115,O
Node4,Node162,M
Node57,Node163,O
Node139,Node164,O
Node65,Node165,Star
Node67,Node156,R
Node122,Node155,R
Node39,Node166,M
Node60,Node151,E
Node60,Node153,E
Node75,Node160,R
Node62,Node152,R
Node116,Node149,E
Node58,Node163,R
Node111,Node166,E
Node61,Node167,O
Node46,Node161,R
Node32,Node168,M
Node146,Node169,Star
Node15,Node168,R
Node36,Node75,R
Node97,Node170,Star
Node127,Node171,A
Node167,Node172,O
Node44,Node173,O
Node53,Node158,R
Node78,Node174,O
Node131,Node175,A
Node15,Node176,O
Node106,Node177,O
Node124,Node178,O
Node90,Node179,A
Node117,Node167,O
Node120,Node176,E
Node77,Node178,E
Node128,Node180,O
Node172,Node181,O
Node137,Node123,R
Node52,Node182,Star
Node132,Node183,O
Node125,Node184,M
Node59,Node164,R
Node145,Node185,O
Node75,Node159,R
Node88,Node186,O
Node33,Node162,O
Node10,Node187,M
Node172,Node154,E
Node133,Node173,E
Node115,Node186,R
Node19,Node188,O
Node10,Node189,M
Node160,Node190,A
Node17,Node191,M
Node99,Node183,E
Node189,Node192,Star
Node66,Node177,O
Node168,Node193,Star
Node121,Node146,E
Node184,Node170,E
Node48,Node165,O
Node165,Node150,R
Node164,Node193,R
Node129,Node194,A
Node179,Node147,E
Node109,Node195,A
Node90,Node174,E
Node86,Node175,R
Node67,Node196,Star
Node158,Node197,A
Node152,Node198,Star
Node71,Node199,Star
Node75,Node181,R
Node134,Node142,E
Node106,Node189,R
Node41,Node187,O
Node42,Node200,O
Node63,Node196,E
Node120,Node182,E
Node44,Node201,O
Node161,Node197,R
Node63,Node167,E
Node42,Node202,O
Node26,Node180,R
Node128,Node203,O
Node40,Node204,A
Node86,Node205,A
Node73,Node206,M
Node118,Node190,R
Node70,Node206,R
Node89,Node207,M
Node128,Node169,E
Node84,Node208,A
Node158,Node209,A
Node195,Node210,Star
Node151,Node211,O
Node174,Node212,A
Node198,Node213,O
Node39,Node214,M
Node213,Node203,R
Node36,Node184,R
Node45,Node215,Star
Node192,Node216,O
Node131,Node217,A
Node1,Node218,A
Node59,Node217,R
Node51,Node219,M
Node1,Node220,A
Node61,Node214,R
Node52,Node204,E
Node55,Node221,Star
Node176,Node207,E
Node53,Node222,A
Node219,Node194,E
Node44,Node223,O
Node145,Node224,O
Node174,Node225,A
Node199,Node200,E
Node94,Node218,E
Node156,Node226,Star
Node173,Node227,O
Node2,Node228,M
Node14,Node229,O
Node55,Node230,Star
Node122,Node231,O
Node227,Node232,Star
Node216,Node225,E
Node156,Node179,R
Node117,Node223,O
Node204,Node233,O
Node218,Node220,R
Node171,Node216,E
Node152,Node234,Star
Node223,Node235,Star
Node55,Node236,Star
Node216,Node233,E
Node65,Node237,Star
Node63,Node213,E
Node213,Node238,A
Node179,Node239,Star
Node58,Node240,Star
Node71,Node230,R
Node189,Node231,R
Node145,Node241,O
Node47,Node242,A
Node24,Node243,A
Node217,Node244,M
Node29,Node245,M
Node143,Node209,O
Node182,Node234,R
Node168,Node246,Star
Node117,Node202,O
Node134,Node239,E
Node99,Node208,E
Node216,Node192,E
Node198,Node247,O
Node41,Node248,M
Node197,Node188,R
Node242,Node205,R
Node102,Node249,M
Node27,Node236,E
Node115,Node222,R
Node159,Node246,E
Node224,Node250,O
Node108,Node228,R
Node83,Node224,E
Node24,Node249,E
Node137,Node242,R
Node250,Node251,A
Node152,Node252,Star
Node240,Node253,O
Node174,Node254,A
Node190,Node232,E
Node38,Node255,M
Node153,Node256,Star
Node254,Node257,Star
Node241,Node258,Star
Node156,Node227,R
Node254,Node229,R
Node218,Node201,R
Node63,Node259,Star
Node57,Node157,E
Node83,Node260,O
Node86,Node223,R
Node250,Node261,A
Node124,Node238,R
Node203,Node262,A
Node141,Node199,E
Node86,Node263,A
Node62,Node264,Star
Node242,Node143,R
Node243,Node265,Star
Node70,Node266,O
Node45,Node210,E
Node256,Node191,R
Node183,Node202,O
Node177,Node241,E
Node117,Node267,M
Node261,Node268,A
Node239,Node269,Star
Node253,Node177,R
Node90,Node248,E
Node228,Node270,M
Node141,Node256,E
Node31,Node271,A
Node8,Node272,M
Node34,Node273,Star
Node181,Node247,O
Node249,Node257,O
Node132,Node172,R
Node265,Node274,Star
Node109,Node274,E
Node92,Node275,A
Node248,Node276,O
Node274,Node277,M
Node168,Node278,Star
Node266,Node279,O
Node192,Node280,O
Node178,Node252,R
Node50,Node281,Star
Node59,Node282,O
Node191,Node226,E
Node165,Node283,O
Node114,Node281,E
Node93,Node262,E
Node209,Node284,A
Node92,Node219,R
Node211,Node202,R
Node64,Node285,A
Node14,Node286,O
Node157,Node271,E
Node202,Node270,E
Node54,Node254,R
Node279,Node287,Star
Node194,Node215,R
Node192,Node195,E
Node219,Node279,E
Node164,Node267,R
Node227,Node288,Star
Node267,Node283,E
Node140,Node286,O
Node264,Node289,Star
Node277,Node261,E
Node71,Node290,Star
Node133,Node251,E
Node27,Node291,O
Node177,Node292,O
Node268,Node282,O
Node89,Node293,M
Node283,Node245,R
Node131,Node294,A
Node2,Node295,M
Node80,Node296,Star
Node195,Node282,E
Node110,Node297,M
Node257,Node287,R
Node199,Node298,O
Node178,Node285,R
Node253,Node263,R
Node58,Node255,R
Node128,Node299,O
Node82,Node244,R
Node136,Node280,E
Node1,Node300,A
Node112,Node301,A
Node177,Node302,O
Node292,Node298,R
Node171,Node303,O
Node142,Node221,R
Node300,Node304,A
Node301,Node305,Star
Node242,Node306,Star
Node202,Node307,O
Node152,Node308,Star
Node33,Node291,O
Node200,Node309,O
Node172,Node310,O
Node187,Node311,O
Node29,Node291,O
Node33,Node276,O
Node180,Node312,O
Node20,Node313,O
Node235,Node314,A
Node182,Node315,A
Node268,Node316,M
Node90,Node317,A
Node137,Node318,A
Node222,Node235,O
Node6,Node319,A
Node172,Node297,E
Node223,Node320,Star
Node209,Node290,R
Node44,Node264,E
Node43,Node250,R
Node157,Node321,A
Node126,Node311,R
Node191,Node277,E
Node92,Node322,A
Node253,Node323,O
Node228,Node316,O
Node223,Node324,Star
Node50,Node325,Star
Node70,Node326,O
Node243,Node327,Star
Node281,Node328,A
Node247,Node329,Star
Node118,Node330,Star
Node66,Node331,M
Node72,Node320,R
Node144,Node310,R
Node29,Node273,O
Node155,Node332,A
Node139,Node306,R
Node114,Node322,E
Node313,Node265,R
Node189,Node333,Star
Node106,Node334,O
Node322,Node335,O
Node253,Node336,O
Node274,Node288,O
Node85,Node312,R
Node109,Node293,E
Node31,Node332,R
Node172,Node337,O
Node114,Node268,E
Node237,Node259,O
Node43,Node338,O
Node323,Node301,R
Node132,Node339,O
Node51,Node330,O
Node312,Node266,R
Node77,Node340,O
Node259,Node341,Star
Node151,Node342,O
Node216,Node327,E
Node124,Node198,R
Node135,Node343,Star
Node311,Node344,M
Node200,Node247,E
Node327,Node345,A
Node224,Node346,O
